"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2022,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
"Total, 16 years and over","158,291",46.8,77.0,12.6,6.7,18.5
,,,,,,
"Management,  professional, and related occupations","68,099",51.5,77.7,10.2,9.0,10.9
"Management, business, and financial operations occupations","29,350",44.8,80.4,9.4,7.3,11.3
Management occupations,"20,199",40.5,81.6,9.0,6.6,11.5
Chief executives,"1,780",29.2,85.9,5.9,6.7,6.8
General and operations managers,"1,165",35.4,82.4,9.1,5.3,11.5
Legislators,14,–,–,–,–,–
Advertising and promotions managers,68,49.7,80.3,13.8,4.4,8.9
Marketing managers,656,58.9,83.9,6.8,7.5,11.4
Sales managers,566,34.2,88.3,5.9,3.5,11.3
Public relations and fundraising managers,131,64.3,87.4,8.9,2.9,7.5
Administrative services managers,69,78.2,82.1,9.4,4.8,17.3
Facilities managers,129,19.3,92.0,6.1,1.1,17.8
Computer and information systems managers,764,26.4,72.6,7.8,16.5,7.5
Financial managers,"1,380",55.7,78.5,9.6,9.3,10.1
Compensation and benefits managers,18,–,–,–,–,–
Human resources managers,295,72.9,81.5,12.0,4.0,11.6
Training and development managers,63,48.7,86.4,6.2,6.6,4.4
Industrial production managers,281,22.5,84.0,6.7,6.7,12.9
Purchasing managers,234,45.5,78.2,11.5,7.5,8.4
"Transportation, storage, and distribution managers",351,22.6,85.1,8.9,3.4,17.2
"Farmers, ranchers, and other agricultural managers",946,23.9,94.8,1.5,0.6,6.6
Construction managers,"1,057",8.5,89.8,5.3,2.6,16.2
Education and childcare administrators,988,68.1,78.0,16.3,4.0,9.8
Architectural and engineering managers,202,13.3,76.5,6.7,14.3,9.6
Food service managers,"1,153",46.3,71.2,13.0,11.2,19.5
Funeral home managers,8,–,–,–,–,–
Entertainment and recreation managers,65,41.5,87.4,7.1,1.6,8.6
Lodging managers,113,46.7,75.4,6.6,12.9,8.4
Medical and health services managers,797,71.6,74.6,16.0,7.3,9.0
Natural sciences managers,28,–,–,–,–,–
Postmasters and mail superintendents,26,–,–,–,–,–
"Property, real estate, and community association managers",835,50.3,83.1,9.9,4.3,11.0
Social and community service managers,434,70.7,78.1,12.7,4.7,12.8
Emergency management directors,22,–,–,–,–,–
"Personal service managers, all other",6,–,–,–,–,–
"Managers, all other","5,557",36.1,80.9,8.9,7.0,12.5
Business and financial operations occupations,"9,152",54.5,77.9,10.2,8.9,11.0
"Agents and business managers of artists, performers, and athletes",39,–,–,–,–,–
"Buyers and purchasing agents, farm products",4,–,–,–,–,–
"Wholesale and retail buyers, except farm products",179,55.2,85.2,6.8,3.4,15.2
"Purchasing agents, except wholesale, retail, and farm products",266,55.7,82.3,7.2,7.4,7.9
"Claims adjusters, appraisers, examiners, and investigators",365,56.8,75.2,16.0,5.7,13.2
Compliance officers,294,56.8,76.5,13.7,5.6,16.5
Cost estimators,140,15.9,91.9,1.1,4.2,9.0
Human resources workers,936,77.2,77.0,14.0,6.2,16.2
"Compensation, benefits, and job analysis specialists",65,64.5,52.1,32.0,9.4,16.3
Training and development specialists,157,54.9,78.7,13.2,4.9,13.1
Logisticians,169,43.7,74.0,18.0,5.4,16.3
Project management specialists,841,42.2,78.3,9.0,9.3,7.7
Management analysts,"1,045",48.2,76.2,8.5,12.6,6.5
"Meeting, convention, and event planners",159,74.5,78.9,14.0,3.7,12.5
Fundraisers,76,82.9,91.8,0.3,3.9,9.3
Market research analysts and marketing specialists,455,57.9,79.6,5.8,11.1,9.9
"Business operations specialists, all other",409,59.8,78.6,10.9,7.0,12.4
Accountants and auditors,"1,652",58.8,76.1,9.7,11.7,9.7
Property appraisers and assessors,100,45.5,92.4,4.2,2.7,7.8
Budget analysts,48,–,–,–,–,–
Credit analysts,51,46.3,72.8,6.9,11.3,9.3
Financial and investment analysts,387,40.2,74.7,8.0,14.2,12.2
Personal financial advisors,543,35.1,82.7,6.3,9.5,8.4
Insurance underwriters,105,65.6,83.5,13.2,2.3,13.0
