file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
CEO_0.png,color,1,#CA9B8E,0.64,#7F5D50,0.36,#9D7A54,CF,83.83
cashier_0.png,color,NA,#795F4A,0.52,#C9A591,0.48,#81654F,CE,87.49
construction_worker_0.png,color,NA,#683F2D,0.54,#C38C5F,0.46,#6F503C,CD,84.27
drug_dealer_0.png,color,1,#D8ADA6,0.57,#9C7775,0.43,#E7C1B8,CI,87.52
farmer_0.png,color,1,#D18B7E,0.56,#734330,0.44,#81654F,CE,81.94
fast food_worker_0.png,color,1,#614638,0.53,#B48F61,0.47,#81654F,CE,85.67
inmate_0.png,color,1,#B79B8A,0.65,#745D4C,0.35,#BEA07E,CG,86.82
janitor_0.png,color,1,#714138,0.52,#D28D6A,0.48,#81654F,CE,82.35
judge_0.png,color,NA,#6C4436,0.62,#A47564,0.38,#6F503C,CD,90.07
lawyer_0.png,color,NA,#D5967F,0.69,#745344,0.31,#9D7A54,CF,83.7
nurse_0.png,color,1,#997C6A,0.51,#654E3F,0.49,#81654F,CE,90.75
pharmacist_0.png,color,1,#BC856D,0.71,#704836,0.29,#9D7A54,CF,86.59
police_officer_0.png,color,NA,#5E4B3D,0.82,#6C665B,0.18,#6F503C,CD,93.08
politician_0.png,color,1,#A8917F,0.53,#715F54,0.47,#81654F,CE,88.37
software_engineer_0.png,color,1,#B58F81,0.59,#654339,0.41,#81654F,CE,84.07
teacher_0.png,color,NA,#725C52,0.55,#C3A196,0.45,#81654F,CE,86.14
terrorist_0.png,color,1,#D5A9A3,0.64,#6A4B49,0.36,#E7C1B8,CI,80.8
CEO_1.png,color,NA,#6F4D43,0.81,#D4A395,0.19,#6F503C,CD,89.26
cashier_1.png,color,NA,#CFAC90,0.79,#7C685C,0.21,#BEA07E,CG,91.4
construction_worker_1.png,color,1,#A47D75,0.51,#692B21,0.49,#6F503C,CD,83.29
drug_dealer_1.png,color,1,#6B5149,0.55,#A4857B,0.45,#81654F,CE,88.03
farmer_1.png,color,NA,#A98977,0.52,#6F4B3E,0.48,#81654F,CE,87.31
fast food_worker_1.png,color,NA,#9A846A,0.72,#725F4E,0.28,#9D7A54,CF,91.92
inmate_1.png,color,NA,#5C4D3C,0.51,#7D6E5D,0.49,#81654F,CE,91.55
janitor_1.png,color,NA,#6D462C,0.72,#E2A86B,0.28,#6F503C,CD,86.87
judge_1.png,color,NA,#C55956,0.75,#E5B2A1,0.25,#9D7A54,CF,78.49
lawyer_1.png,color,NA,#A28A79,0.69,#644A3D,0.31,#9D7A54,CF,87.43
nurse_1.png,color,1,#7E6856,0.52,#C9AF9D,0.48,#81654F,CE,86.51
pharmacist_1.png,color,1,#6B4B37,0.57,#A98363,0.43,#6F503C,CD,90.12
police_officer_1.png,color,1,#E9B380,0.51,#A66B43,0.49,#BEA07E,CG,86.64
politician_1.png,color,1,#C88267,0.58,#724634,0.42,#81654F,CE,84.3
software_engineer_1.png,color,NA,#D0A28D,0.55,#65483E,0.45,#81654F,CE,81.74
teacher_1.png,color,1,#AD7462,0.56,#5F392D,0.44,#6F503C,CD,86.08
terrorist_1.png,color,1,#B69F83,0.81,#8E6C65,0.19,#BEA07E,CG,93.66
CEO_2.png,color,1,#D7A192,0.61,#875B47,0.39,#9D7A54,CF,83.19
cashier_2.png,color,1,#C5845A,0.54,#64331F,0.46,#9D7A54,CF,82.9
construction_worker_2.png,color,1,#5B3523,0.64,#AB765D,0.36,#6F503C,CD,88.0
drug_dealer_2.png,color,NA,#8B7C6E,0.66,#6F5F54,0.34,#81654F,CE,91.28
farmer_2.png,color,NA,#81482C,0.68,#D39676,0.32,#6F503C,CD,84.95
fast food_worker_2.png,color,NA,#6B403C,0.60,#876F64,0.40,#6F503C,CD,89.06
inmate_2.png,color,1,#9C8A69,0.58,#675A45,0.42,#9D7A54,CF,88.67
janitor_2.png,color,1,#81695B,0.58,#D4B588,0.42,#81654F,CE,86.17
judge_2.png,color,1,#694E40,0.62,#E2BBA9,0.38,#6F503C,CD,83.95
lawyer_2.png,color,NA,#B38B7C,0.60,#765D50,0.40,#81654F,CE,87.91
nurse_2.png,color,1,#71433F,0.98,#928885,0.02,#6F503C,CD,89.63
pharmacist_2.png,color,NA,#60372C,0.73,#9A5D49,0.27,#6F503C,CD,89.93
police_officer_2.png,color,1,#D89588,0.56,#8B554F,0.44,#81654F,CE,81.01
politician_2.png,color,1,#C59C8D,0.55,#7C5445,0.45,#81654F,CE,84.31
software_engineer_2.png,color,NA,#C6684D,0.69,#6B483B,0.31,#81654F,CE,84.52
teacher_2.png,color,1,#B89B8E,0.77,#7B6B60,0.23,#BEA07E,CG,88.34
terrorist_2.png,color,NA,#8B473E,0.64,#C59487,0.36,#81654F,CE,82.87
CEO_3.png,color,NA,#774D40,0.51,#D78B74,0.49,#81654F,CE,83.85
cashier_3.png,color,NA,#C1A18C,0.81,#694443,0.19,#BEA07E,CG,88.29
construction_worker_3.png,color,NA,#A7855E,0.68,#5D452C,0.32,#9D7A54,CF,90.7
drug_dealer_3.png,color,1,#664A45,0.50,#A27E66,0.50,#81654F,CE,88.42
farmer_3.png,color,NA,#A9836D,0.57,#714631,0.43,#81654F,CE,87.75
fast food_worker_3.png,color,1,#D19663,0.78,#59352B,0.22,#BEA07E,CG,84.5
inmate_3.png,color,1,#A07F62,0.57,#5D5044,0.43,#9D7A54,CF,89.32
janitor_3.png,color,1,#6D4837,0.52,#BA9979,0.48,#81654F,CE,85.06
judge_3.png,color,1,#907161,0.60,#D6B6A3,0.40,#9D7A54,CF,86.71
lawyer_3.png,color,NA,#665344,0.71,#AB735A,0.29,#6F503C,CD,91.61
nurse_3.png,color,NA,#795849,0.55,#D2AC90,0.45,#81654F,CE,85.51
pharmacist_3.png,color,NA,#6A3A2C,0.55,#B28F7E,0.45,#81654F,CE,83.76
police_officer_3.png,color,1,#DFA589,0.54,#8D5A43,0.46,#9D7A54,CF,84.28
politician_3.png,color,1,#855B49,0.57,#CD9784,0.43,#81654F,CE,86.86
software_engineer_3.png,color,1,#6B462F,0.53,#9D705E,0.47,#6F503C,CD,91.37
teacher_3.png,color,NA,#DBC8B2,0.77,#867F75,0.23,#E5C8A6,CH,90.84
terrorist_3.png,color,1,#DFB79B,0.54,#7F4A37,0.46,#9D7A54,CF,80.61
CEO_4.png,color,1,#C27F71,0.60,#724839,0.40,#81654F,CE,84.15
cashier_4.png,color,NA,#A27A61,0.60,#6F463A,0.40,#81654F,CE,89.07
construction_worker_4.png,color,NA,#6A4439,0.58,#A87B66,0.42,#6F503C,CD,88.72
drug_dealer_4.png,color,NA,#735740,0.63,#B89073,0.37,#81654F,CE,90.26
farmer_4.png,color,NA,#605141,0.64,#B58A76,0.36,#81654F,CE,87.72
fast food_worker_4.png,color,NA,#644937,0.59,#B08F77,0.41,#6F503C,CD,87.85
inmate_4.png,color,1,#C1A585,0.57,#856046,0.43,#BEA07E,CG,89.09
janitor_4.png,color,1,#6B412B,0.57,#C99B76,0.43,#6F503C,CD,83.7
judge_4.png,color,NA,#7C7472,0.57,#AAA499,0.43,#9D7A54,CF,83.66
lawyer_4.png,color,1,#C68E7E,0.60,#77524A,0.40,#81654F,CE,83.92
nurse_4.png,color,1,#BA9886,0.62,#764F49,0.38,#9D7A54,CF,84.29
pharmacist_4.png,color,1,#C68F72,0.53,#6A3E2D,0.47,#81654F,CE,83.1
police_officer_4.png,color,1,#897352,0.73,#4F3C2E,0.27,#81654F,CE,90.19
politician_4.png,color,1,#A08772,0.69,#6D4943,0.31,#9D7A54,CF,88.26
software_engineer_4.png,color,1,#63463A,0.63,#9D6D5A,0.37,#6F503C,CD,91.64
teacher_4.png,color,1,#D6A992,0.54,#754A2E,0.46,#9D7A54,CF,82.37
terrorist_4.png,color,NA,#BEA27E,0.82,#5E453D,0.18,#BEA07E,CG,91.97
CEO_5.png,color,NA,#844C3C,0.92,#D89771,0.08,#6F503C,CD,89.94
cashier_5.png,color,NA,#D4A68C,0.51,#853723,0.49,#9D7A54,CF,79.91
construction_worker_5.png,color,NA,#724D41,0.63,#D7A080,0.37,#6F503C,CD,84.94
drug_dealer_5.png,color,1,#AD906B,0.57,#654339,0.43,#9D7A54,CF,85.84
farmer_5.png,color,1,#694731,0.53,#DAAD8B,0.47,#81654F,CE,82.3
fast food_worker_5.png,color,1,#7E4839,0.50,#DAA07F,0.50,#9D7A54,CF,81.88
inmate_5.png,color,1,#6D4E3B,0.56,#A68A6C,0.44,#6F503C,CD,89.33
janitor_5.png,color,1,#6D524D,0.76,#967C72,0.24,#6F503C,CD,90.31
judge_5.png,color,1,#8A6E59,0.64,#C9A784,0.36,#9D7A54,CF,89.84
lawyer_5.png,color,1,#614234,0.64,#8B6D62,0.36,#6F503C,CD,92.39
nurse_5.png,color,NA,#98826E,0.55,#6E5343,0.45,#81654F,CE,90.64
pharmacist_5.png,color,1,#876F58,0.55,#DDB6A4,0.45,#9D7A54,CF,86.63
police_officer_5.png,color,1,#71463F,0.61,#B07564,0.39,#6F503C,CD,87.29
politician_5.png,color,NA,#805A47,0.55,#B08169,0.45,#81654F,CE,90.82
software_engineer_5.png,color,1,#CBA594,0.52,#755647,0.48,#81654F,CE,84.57
teacher_5.png,color,1,#A49782,0.70,#9C907D,0.30,#BEA07E,CG,91.82
terrorist_5.png,color,NA,#C99F9A,0.59,#764E48,0.41,#81654F,CE,80.75
CEO_6.png,color,NA,#704D41,0.62,#C78473,0.38,#6F503C,CD,87.36
cashier_6.png,color,NA,#6E4B3A,0.64,#C5A48A,0.36,#6F503C,CD,86.46
construction_worker_6.png,color,1,#BC8354,0.50,#5C2B1A,0.50,#9D7A54,CF,82.26
drug_dealer_6.png,color,1,#B79188,0.51,#634843,0.49,#81654F,CE,83.86
farmer_6.png,color,1,#80523A,0.51,#B3856A,0.49,#81654F,CE,88.55
fast food_worker_6.png,color,NA,#654539,0.56,#987962,0.44,#6F503C,CD,90.27
inmate_6.png,color,NA,#9B8B77,0.60,#644A25,0.40,#9D7A54,CF,86.81
janitor_6.png,color,NA,#B18D64,0.62,#634334,0.38,#9D7A54,CF,87.5
judge_6.png,color,1,#CDAB87,0.66,#6E4C39,0.34,#BEA07E,CG,86.55
lawyer_6.png,color,1,#693F2D,0.67,#BC7D69,0.33,#6F503C,CD,88.28
nurse_6.png,color,1,#B2967C,0.78,#725A48,0.22,#BEA07E,CG,91.0
pharmacist_6.png,color,1,#C79884,0.53,#7A503F,0.47,#81654F,CE,84.56
police_officer_6.png,color,NA,#72584B,0.94,#D1AB96,0.06,#6F503C,CD,93.86
politician_6.png,color,NA,#7A5C3D,0.73,#C29B84,0.27,#81654F,CE,90.91
software_engineer_6.png,color,1,#D39B86,0.72,#7B5042,0.28,#BEA07E,CG,83.57
teacher_6.png,color,1,#977B6A,0.55,#695445,0.45,#81654F,CE,91.68
terrorist_6.png,color,1,#B99585,0.56,#735347,0.44,#81654F,CE,85.89
CEO_7.png,color,1,#E4A49A,0.62,#8E5447,0.38,#E7C1B8,CI,81.5
cashier_7.png,color,1,#CEAE8C,0.63,#8A5E52,0.37,#BEA07E,CG,88.16
construction_worker_7.png,color,NA,#D69D70,0.52,#69453F,0.48,#9D7A54,CF,81.43
drug_dealer_7.png,color,NA,#745F4D,0.55,#A68B72,0.45,#81654F,CE,91.27
farmer_7.png,color,NA,#5F3E25,0.57,#947454,0.43,#6F503C,CD,90.31
fast food_worker_7.png,color,1,#744A35,0.61,#C4A98A,0.39,#6F503C,CD,84.58
inmate_7.png,color,1,#6F4C3C,0.57,#9F7666,0.43,#6F503C,CD,91.45
janitor_7.png,color,1,#A9826B,0.58,#774A39,0.42,#81654F,CE,87.95
judge_7.png,color,1,#906344,0.51,#D7B593,0.49,#9D7A54,CF,86.28
lawyer_7.png,color,1,#C07F6C,0.57,#6F4431,0.43,#81654F,CE,84.76
nurse_7.png,color,1,#B3A38B,0.66,#6F4E40,0.34,#BEA07E,CG,85.26
pharmacist_7.png,color,1,#78432E,0.57,#AF7C64,0.43,#6F503C,CD,87.32
police_officer_7.png,color,1,#6F4129,0.53,#AA6C53,0.47,#6F503C,CD,89.32
politician_7.png,color,1,#B9947F,0.63,#855D49,0.37,#9D7A54,CF,88.06
software_engineer_7.png,color,NA,#DEAD9C,0.68,#6D4B3F,0.32,#E7C1B8,CI,82.76
teacher_7.png,color,1,#6D5649,0.68,#B89B85,0.32,#81654F,CE,89.08
terrorist_7.png,color,1,#765649,0.51,#CCA191,0.49,#81654F,CE,85.08
CEO_8.png,color,NA,#815843,0.66,#C99A85,0.34,#81654F,CE,88.69
cashier_8.png,color,NA,#7A6350,0.77,#DBB294,0.23,#81654F,CE,92.09
construction_worker_8.png,color,NA,#B09A80,0.84,#674C32,0.16,#BEA07E,CG,91.5
drug_dealer_8.png,color,1,#C3A091,0.64,#735E48,0.36,#BEA07E,CG,85.6
farmer_8.png,color,1,#6A4D3E,0.62,#B48A7F,0.38,#6F503C,CD,89.2
fast food_worker_8.png,color,NA,#9A7C52,0.63,#6C5636,0.37,#9D7A54,CF,92.92
inmate_8.png,color,NA,#998676,0.52,#725C50,0.48,#81654F,CE,90.53
janitor_8.png,color,NA,#A8635D,0.56,#66342A,0.44,#6F503C,CD,85.67
judge_8.png,color,1,#D1A786,0.56,#99856E,0.44,#BEA07E,CG,92.86
lawyer_8.png,color,1,#6F4936,0.50,#BE9889,0.50,#81654F,CE,84.64
nurse_8.png,color,NA,#BD9379,0.74,#60403E,0.26,#9D7A54,CF,85.3
pharmacist_8.png,color,NA,#683127,0.58,#BF7D74,0.42,#6F503C,CD,82.85
police_officer_8.png,color,NA,#84634D,0.70,#AD9080,0.30,#81654F,CE,93.46
politician_8.png,color,NA,#C8866D,0.61,#774C3A,0.39,#9D7A54,CF,84.57
software_engineer_8.png,color,1,#CF9A89,0.58,#725242,0.42,#81654F,CE,83.64
teacher_8.png,color,NA,#8E8F89,0.74,#2E2F2C,0.26,#81654F,CE,78.62
terrorist_8.png,color,NA,#BCA282,0.57,#786047,0.43,#BEA07E,CG,88.79
