file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
CEO_0.png,color,NA,#CC9C8F,0.64,#836154,0.36,#9D7A54,CF,83.98
construction_worker_0.png,color,NA,#6A4032,0.55,#BD8571,0.45,#6F503C,CD,85.07
drug_dealer_0.png,color,NA,#D9AEA7,0.58,#A37B78,0.42,#E7C1B8,CI,88.45
farmer_0.png,color,1,#D8897C,0.66,#8C4135,0.34,#9D7A54,CF,79.96
fast food_worker_0.png,color,1,#B58F61,0.53,#654839,0.47,#9D7A54,CF,86.25
inmate_0.png,color,NA,#B89D8B,0.62,#78604E,0.38,#BEA07E,CG,86.88
janitor_0.png,color,NA,#7D473A,0.52,#D7906A,0.48,#81654F,CE,82.5
lawyer_0.png,color,1,#E89E85,0.71,#AE6F5C,0.29,#BEA07E,CG,85.09
nurse_0.png,color,1,#9A7C6A,0.54,#6A5342,0.46,#81654F,CE,91.48
pharmacist_0.png,color,NA,#BD866D,0.78,#744836,0.22,#9D7A54,CF,87.27
police_officer_0.png,color,NA,#63594E,0.52,#544438,0.48,#513B2E,CC,92.5
politician_0.png,color,NA,#A8917F,0.50,#736055,0.50,#81654F,CE,88.85
software_engineer_0.png,color,NA,#B68E80,0.57,#6D4A3F,0.43,#81654F,CE,85.08
teacher_0.png,color,1,#98786D,0.52,#6A544A,0.48,#81654F,CE,90.83
terrorist_0.png,color,NA,#D6AAA4,0.64,#805A56,0.36,#E7C1B8,CI,84.1
CEO_1.png,color,NA,#9B6E5F,0.52,#F0B9A9,0.48,#E7C1B8,CI,84.63
cashier_1.png,color,NA,#D5AD8F,0.62,#AB816B,0.38,#BEA07E,CG,92.03
construction_worker_1.png,color,NA,#A78279,0.54,#703B32,0.46,#81654F,CE,84.46
drug_dealer_1.png,color,NA,#70564E,0.57,#A6867B,0.43,#81654F,CE,88.84
farmer_1.png,color,NA,#AC7A71,0.54,#77463B,0.46,#81654F,CE,85.87
fast food_worker_1.png,color,NA,#6C4E41,0.56,#A18470,0.44,#81654F,CE,89.31
inmate_1.png,color,NA,#655544,0.56,#837362,0.44,#81654F,CE,92.2
janitor_1.png,color,NA,#7E3E16,0.60,#E8AB6A,0.40,#9D7A54,CF,79.95
judge_1.png,color,NA,#B9B9B5,0.52,#636B67,0.48,#BEA07E,CG,78.42
lawyer_1.png,color,NA,#64392A,0.53,#A37A64,0.47,#6F503C,CD,87.33
nurse_1.png,color,1,#C8AD9A,0.51,#816A58,0.49,#BEA07E,CG,86.69
pharmacist_1.png,color,NA,#71503A,0.57,#AA8262,0.43,#6F503C,CD,90.8
police_officer_1.png,color,NA,#EDB783,0.52,#B27447,0.48,#BEA07E,CG,87.56
politician_1.png,color,1,#CA8367,0.64,#7A4734,0.36,#9D7A54,CF,84.29
software_engineer_1.png,color,NA,#D4A48F,0.67,#76554B,0.33,#BEA07E,CG,83.96
teacher_1.png,color,NA,#6D4235,0.55,#B17966,0.45,#6F503C,CD,87.42
terrorist_1.png,color,NA,#B69F84,0.80,#957066,0.20,#BEA07E,CG,93.93
CEO_2.png,color,NA,#D8A090,0.65,#8A5944,0.35,#9D7A54,CF,82.86
cashier_2.png,color,NA,#CA875A,0.54,#813D22,0.46,#9D7A54,CF,84.03
construction_worker_2.png,color,NA,#643826,0.59,#A66B54,0.41,#6F503C,CD,88.89
drug_dealer_2.png,color,NA,#8E7471,0.51,#604C4A,0.49,#81654F,CE,87.71
farmer_2.png,color,NA,#863C2D,0.66,#E69988,0.34,#6F503C,CD,80.68
